at,124
Michigan,18
.,236.3125
stirred,172
concerns,189
DeVos,233.11111111111111
Republican,128
during,247
panned,243
first,61
It,139
Pence,41.666666666666664
answer,257
Democrats,144
lines,365.5
caucus,331
Labor,425
president,56
constituents,164
30,116
During,354
cast,9
one,126
requiring,39
highly,26
refer,439
tally,63
secretary,194.5
read,119.5
contentious,27
hearing,250
like,270
Chris,308
day,98
not,364
party,431
her,218.42857142857142
Before,414
communities,396
least,125
above,285
confirmed,11
News,450
opposition,267
disabled,238
Republicans,335
members,404
is,140
Maine,341
activist,15
whether,376
hedged,254
announced,347
confirm,72
hour,108
school,298
billionaire,17
"""",441
a,143.88888888888889
be,328.5
as,26
Democratic,330
break,54
additional,127
saying,263
that,63
Van,309
support,351
which,197
his,180
primary,388
"""",264
Elizabeth,151
",",258.18518518518516
never,213
-,264.5
about,256.6666666666667
flooding,296
urge,123
48,183
an,256
time,62
floor,121
's,194
email,301
She,241
vice,65
Sens.,337
Vice,5
with,212
more,114
our,408
11,436
against,202.5
?,288.125
all,182
has,67
system,221
entire,329
by,262
choice,146
Many,187
question,374
than,115
no,169
Hollen,310
that,382
must,390
addition,326
voters,295
landmark,231
himself,88
block,134
education,172
reactions,289
experience,209
The,58
Pensions,427
received,319
Sen.,228.5
full,446
Winsor,454
contributed,455
D,233
weaken,201
nomination,251.33333333333334
law,232
50,87
Others,223
two,333
attended,214
rendering,90
51,93
before,129
lack,216.5
office,318
focus,389
focus,366
of,210.16666666666666
for,244
drew,284
vouchers,282.5
public,276.6666666666667
Md.,314
lawmakers,117
calls,321
after,4
vote,149
then,86
they,306
this,243
taking,118
today,10
worse,145
afternoon,30
Betsy,14
to,336.5
would,349
Morgan,453
average,287
breaking,13
voted,179
board,403
ABC,449
moderate,334
appreciates,381
split,36
or,296
defend,273
familiarity,228
since,211
tie,40.5
to,144.4
confirmation,267
up,173
President,3.5
Alaska,346
fully,380
impasse,56
administration,2
serve,8
on,259
Warren,152
schools,291.3333333333333
upper,49
along,430
negative,288
report,458
and,261.1818181818182
needed,267
vote,153
Committee,428
parents,398
charters,368
24,106
imagine,143
administrators,406
Lisa,343
cited,206
raises,372
critics,198
needs,236
speech,356
Senate,230.83333333333334
Wyoming,271
Cabinet,74
might,265
helping,393
Mass.,156
was,87
letters,162
gaffe,246
urging,165
worked,216
staged,104
Health,421
the,195.47368421052633
support,192
"14,000",320
marathon,109
strengthen,407
In,325
phone,298
hard,141
guns,259
',282
speeches,111
accounts,302
from,209.66666666666666
Susan,338
weeks,305
use,42
she,251
announcing,357
This,58
grizzlies,277
teachers,288.5
-,159.33333333333334
Congress,52
broken,68
evenly,37
will,200
recent,304
Education,423
when,252
Mike,7
believe,199
12,434
potential,276
in,177.5
unions,180
count,81
Collins,350
vehement,174
chamber,50
protecting,233
public,292
nominee,75
children,239
Murkowski,344
states,331.5
authority,44
said,278.6666666666667
